class_id,class_name,total_sessions,total_students,dominant_emotion,avg_intensity,avg_tiredness,absence_rate,trend,priority_level,recommended_activities,recommended_duration,last_session
0049a21e-bbfb-438f-92ab-1f847fb8ba62,Class 11T,116,43,HAPPY,0.998,4.375,0.004,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:59:30.152Z
2f96a585-ba4c-4253-b5e3-351703bc26a7,Class 10Q,104,32,HAPPY,0.82,4.684,0.019,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:24:03.929Z
3063e3d8-ad29-4cfe-b91a-7ad1be6bb84c,Class 9M,123,31,EXCITED,1.0,4.836,0.114,stable,MEDIUM,Energising activities; Physical movement breaks; Collaborative challenges; Quick competitions,10-15 minutes,2025-03-07T02:45:50.752Z
38662ddb-4a6e-4d82-8c7d-951af189970c,Class 10M,113,32,HAPPY,0.645,4.333,0.036,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:29:30.929Z
39030cc0-d6f5-44bb-86ba-8638736855e0,Class 8O,127,31,HAPPY,0.998,4.663,0.001,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:37:00.382Z
3a86dc44-1468-4f87-9b21-b338fa07ad24,Class 11N,60,45,HAPPY,1.0,4.34,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:59:06.482Z
45d3b747-dbb6-41b3-89de-68892ad5bc94,Class 2J,138,34,HAPPY,0.665,4.505,0.068,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:48:56.482Z
476f8ef0-5f55-4f4f-ba66-8bb42b5efd21,Class 2Q,159,36,HAPPY,0.75,4.349,0.016,improving,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:15:51.243Z
482c7f18-cddd-4bdc-8247-92b5a4a7733e,Class 2P,119,33,HAPPY,0.674,4.073,0.001,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:22:18.194Z
48ea7071-6c7d-4eab-b527-bc1b5bd77434,Class 7Z,108,32,EXCITED,0.998,4.639,0.004,stable,MEDIUM,Energising activities; Physical movement breaks; Collaborative challenges; Quick competitions,10-15 minutes,2025-03-07T02:55:59.361Z
4a0d0bf7-ace3-4649-8075-ff44d6f7a250,Class 5P,80,34,HAPPY,0.998,4.547,0.027,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:14:02.210Z
4e8d4046-3a88-4089-90cf-1175200d5981,Class 3I,119,32,HAPPY,0.801,4.58,0.002,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:06:51.177Z
4ec7fd9b-ced4-401e-b526-e83bf096c1ca,Class 3V,119,34,HAPPY,0.613,3.942,0.051,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:59:59.095Z
58dfd3b5-d430-4bcf-9b5f-363e901a9590,Class 10V,72,32,HAPPY,0.873,4.534,0.017,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:56:50.443Z
5d9cc2a0-2501-44b7-b5f9-34a79d68bf61,Class 6G,101,32,HAPPY,0.704,4.279,0.002,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:05:52.534Z
602ef40c-1cc3-4940-80ca-7240f48121e8,Class 9O,128,34,HAPPY,0.822,4.589,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:20:56.919Z
61988215-68b1-4c19-8e70-8ddbca8f5106,Class 12L,138,33,HAPPY,0.655,3.503,0.028,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:29:30.186Z
632e2920-ce33-4f78-b971-cf2da4ca751d,Class 7H,113,31,HAPPY,1.0,4.634,0.002,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:59:30.067Z
672fda93-4e49-45ae-a1e9-63baa4e8052e,Class 11G,121,32,HAPPY,0.698,4.38,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:59:30.048Z
6887da6f-3ea6-4b8b-ac34-a2955c884a56,Class 12O,127,31,HAPPY,0.762,4.245,0.019,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:14:11.738Z
6a9c4ced-3a53-46b0-8a89-68556b63b5bd,Class 9V,119,35,HAPPY,0.717,4.369,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:17:18.289Z
6c4176ed-7413-4fe1-b3a7-7347577e1bc3,Class 4G,79,35,HAPPY,0.996,4.512,0.02,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:55:26.963Z
6f83c644-6230-47cd-b1d4-3da7085dcab5,Class 2L,130,34,HAPPY,0.751,4.401,0.002,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T01:59:31.764Z
727734a0-e1ef-46e3-b9c9-dd61eb7d99ef,Class 2L,150,33,HAPPY,1.0,4.532,0.126,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:52:06.580Z
774f466f-c890-4e87-ba32-9161c8134081,Class 6P,107,32,HAPPY,1.0,4.312,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:13:42.758Z
782db4dc-bbd2-4878-910f-1468cfb42bc8,Class 5Q,104,40,HAPPY,0.821,4.61,0.083,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:00:37.433Z
78fb554b-32d9-4da7-b881-834ab10580c1,Class 2Q,124,33,HAPPY,0.859,4.456,0.001,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:11:32.666Z
79cca8b6-5326-48ca-9d7e-eaa935eaffbc,Class 10E,101,32,HAPPY,0.796,4.313,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:00:45.881Z
7ef8e858-cf04-454b-b1ca-2216a27c2c67,Class 1D,139,29,HAPPY,0.86,4.509,0.107,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:48:24.345Z
8361e50a-54a0-4b3f-89ab-998e658915a6,Class 8M,85,31,EXCITED,1.0,4.636,0.018,stable,MEDIUM,Energising activities; Physical movement breaks; Collaborative challenges; Quick competitions,10-15 minutes,2025-03-07T04:16:54.738Z
85eb62af-55fe-433c-80c2-7534462cb32d,Class 9E,109,38,HAPPY,0.706,4.129,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:03:42.665Z
864331ef-1928-472d-9dbc-4a900fe34279,Class 5A,129,32,HAPPY,0.706,4.479,0.034,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:52:56.271Z
8b8343af-06d2-4922-8f66-af0abb8c8d42,Class 3K,89,31,HAPPY,0.875,4.608,0.005,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:29:29.641Z
8ce511b5-e810-480c-bc7d-fa84e84a6580,Class 8M,109,32,HAPPY,0.761,4.431,0.001,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:47:28.501Z
8e64ae85-5fd4-4179-be28-169c314a2359,Class 1K,75,30,HAPPY,0.999,4.257,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:28:44.608Z
908274ac-a1ae-42b3-ba07-9835de66dccf,Class 6P,80,36,HAPPY,1.0,4.746,0.078,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:14:01.658Z
910a01d8-4593-46be-b990-9c891d28c022,Class 7E,60,39,HAPPY,1.0,4.312,0.085,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:11:30.023Z
917e6e5e-bd54-4a71-aa24-5d7366f19c73,Class 7O,126,32,HAPPY,0.816,4.509,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:03:47.589Z
9373cc9f-2f1c-4b14-b3c1-0755d0d886ff,Class 11A,126,31,HAPPY,0.998,4.128,0.086,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:07:33.609Z
97045756-e77b-4af0-a722-6fba627f5660,Class 2L,122,31,EXCITED,0.998,4.827,0.06,stable,MEDIUM,Energising activities; Physical movement breaks; Collaborative challenges; Quick competitions,10-15 minutes,2025-03-07T03:04:34.016Z
9bebf5b2-9e00-4896-b259-9d2c751f1c5e,Class 6K,134,37,HAPPY,0.841,4.787,0.002,improving,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:49:08.206Z
9e67b111-8b86-4d7f-b539-b07c16c15862,Class 2T,100,32,HAPPY,0.999,4.702,0.041,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:11:02.322Z
a2cf13b8-e26b-4197-ac02-a53638177530,Class 1B,115,35,HAPPY,0.879,4.862,0.001,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:59:29.772Z
a6d9c68d-cf8d-4e58-8828-b97150b0d415,Class 12J,104,32,HAPPY,0.826,4.586,0.0,improving,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:30:07.823Z
a88b6c0d-f27f-4445-b621-110113a5a701,Class 11A,128,33,HAPPY,0.788,4.089,0.067,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-06T04:05:27.312Z
aa1c50e8-eecd-48c0-81ff-d27401ca5a54,Class 1I,77,31,EXCITED,1.0,4.448,0.001,stable,LOW,Energising activities; Physical movement breaks; Collaborative challenges; Quick competitions,10-15 minutes,2025-03-07T04:13:24.298Z
ad451a96-2a18-4299-a13b-4d3af86f445d,Class 9T,137,31,HAPPY,0.901,4.625,0.001,improving,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:39:55.961Z
ae877add-a6ac-4acd-bf66-915d7122e384,Class 7J,100,31,HAPPY,0.751,4.699,0.003,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-06T04:05:45.447Z
b0ab0362-959c-4572-861f-e1042994cffd,Class 5M,130,33,HAPPY,0.996,4.497,0.099,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:15:28.162Z
b11781fb-7a23-4115-ba29-980139bedb1b,Class 1N,115,34,EXCITED,0.993,4.95,0.044,stable,MEDIUM,Energising activities; Physical movement breaks; Collaborative challenges; Quick competitions,10-15 minutes,2025-03-07T02:44:38.342Z
b1f213e8-5430-423a-b4a6-b761981234df,Class 11Z,137,31,HAPPY,0.657,4.271,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:29:29.789Z
b3dcc5cf-f1cc-4c08-be88-8c79e0255efe,Class 10J,124,32,HAPPY,0.865,4.73,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:22:49.842Z
b6e9e5f8-5a4b-4b2c-9e50-515b214a2e34,Class 6L,88,34,HAPPY,0.994,4.508,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:46:26.835Z
b78fd2cd-503a-40d9-b6ed-63ac3d5770cd,Class 7H,145,32,EXCITED,0.998,4.54,0.083,stable,MEDIUM,Energising activities; Physical movement breaks; Collaborative challenges; Quick competitions,10-15 minutes,2025-03-07T03:29:31.050Z
b89e9ed4-e112-405d-9a52-c0a2bad72772,Class 1W,105,32,HAPPY,0.781,4.582,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-06T04:10:29.389Z
ba0a1cc7-72cd-4e8a-8178-7cea1c25c012,Class 12C,115,32,HAPPY,0.84,4.45,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:23:51.812Z
bec2d3be-3c66-48bf-a92b-3cd4acc66280,Class 6K,118,31,HAPPY,0.838,4.445,0.005,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:09:10.410Z
bf03284a-263e-4aee-897e-bab1808d004d,Class 5X,117,38,HAPPY,0.688,4.262,0.0,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:00:22.099Z
c3c673e0-45c5-4527-96b1-b587655ca6f2,Class 7I,116,73,HAPPY,0.826,4.64,0.001,improving,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:00:24.366Z
c540d4c4-af00-4d65-a4e0-232623751a49,Class 11M,54,32,HAPPY,0.998,3.887,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:29:15.849Z
c5719ebe-79d5-4cd1-8c72-2ab4c48e7152,Class 10S,130,38,HAPPY,0.772,4.717,0.003,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:40:43.723Z
c5ab524e-2b91-43e9-a90d-ae53c95db989,Class 2L,105,34,HAPPY,0.702,3.951,0.008,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:59:30.953Z
d2feacaf-6b98-465b-af91-b4e806261a35,Class 9V,140,33,HAPPY,0.795,4.487,0.052,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:49:14.981Z
d45987c5-fb9d-4c3f-b2f9-33b8bfd7973c,Class 10K,102,39,HAPPY,0.874,4.541,0.001,declining,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:13:15.682Z
d7bacc85-1cfe-430f-80d2-3843b150ab57,Class 6N,119,32,EXCITED,1.0,4.526,0.0,stable,MEDIUM,Energising activities; Physical movement breaks; Collaborative challenges; Quick competitions,10-15 minutes,2025-03-07T03:10:23.770Z
d82a2cd9-60b1-4377-bbcf-fbf2257ece2a,Class 10J,122,32,HAPPY,0.794,4.585,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:17:51.619Z
d87e6036-ce2d-4236-bf74-f567f67dc8c1,Class 4Q,119,36,EXCITED,1.0,4.529,0.0,stable,MEDIUM,Energising activities; Physical movement breaks; Collaborative challenges; Quick competitions,10-15 minutes,2025-03-07T03:39:08.125Z
db031dc7-ee54-4b7a-888c-64d796f99e52,Class 9M,135,35,HAPPY,1.0,4.623,0.101,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:37:22.143Z
dccba97a-2981-490f-8156-3b1844049acb,Class 10S,110,34,HAPPY,0.642,4.192,0.0,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:08:35.953Z
decbe748-4470-4542-b113-376c00cd2483,Class 12X,102,34,HAPPY,0.997,4.587,0.081,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:59:30.137Z
e2bcb306-f002-4feb-b7be-9d44d4cea520,Class 12L,134,32,HAPPY,0.845,4.458,0.067,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:17:23.206Z
e576f060-28d0-4506-8c22-a2b9afcb06ee,Class 7O,72,37,HAPPY,1.0,4.463,0.001,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:14:45.541Z
e822bd46-e4f2-4310-95f7-de1ad4a01c24,Class 10G,112,46,HAPPY,1.0,4.513,0.001,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:17:59.465Z
e8658613-e2e8-42a7-a159-fc38608f2d36,Class 4A,127,33,HAPPY,0.805,4.638,0.062,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:42:20.367Z
e8d96f86-ebf3-4055-bb2f-865012e9c090,Class 3X,126,31,HAPPY,1.0,4.624,0.083,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T02:57:16.565Z
ef9bea77-fddb-490d-a2d0-e1cb7cf76622,Class 1D,91,35,HAPPY,0.998,4.559,0.007,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:05:13.149Z
f6111951-4eb1-4da9-b4bb-02eee64ac2c2,Class 4X,89,35,HAPPY,1.0,4.617,0.0,stable,MEDIUM,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T04:21:23.451Z
f74856c3-b0f2-4864-98b3-b6efb95134a9,Class 7Z,147,35,HAPPY,1.0,4.361,0.017,stable,LOW,Creative projects; Group discussions; Peer teaching; Achievement sharing,5-10 minutes,2025-03-07T03:52:08.886Z
