class_id,class_name,total_sessions,total_students,dominant_emotion,avg_intensity,avg_tiredness,absence_rate,trend,priority_level,recommended_activities,recommended_duration,last_session
d9f27ad3-bb26-453e-bf22-d33e150e16cb,Class 12X,198,28,EXCITED,0.998,3.9,0.003,stable,HIGH,Hands-on experiments; Interactive presentations; Movement breaks; Brainstorming sessions,15-25 minutes,2025-03-05T03:56:43.614000+00:00
8ccf6bcf-e7be-46aa-ad7b-4e118db6f243,Class 9P,134,38,HAPPY,0.664,4.05,0.078,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T01:51:04.597000+00:00
e2bcb306-f002-4feb-b7be-9d44d4cea520,Class 12L,134,32,HAPPY,0.845,4.46,0.067,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:17:23.206000+00:00
9bebf5b2-9e00-4896-b259-9d2c751f1c5e,Class 6K,134,37,HAPPY,0.841,4.79,0.002,improving,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:49:08.206000+00:00
104d0a56-9b6d-41f6-8faa-b96a36f21952,Class 7J,133,34,HAPPY,0.562,4.07,0.07,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:29:30.225000+00:00
974628a5-697f-478c-b6aa-f44c27947cca,Class 7Z,133,33,HAPPY,0.739,4.6,0.068,improving,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:43:45.834000+00:00
d6da092b-1fd2-437b-858a-1caf581eb022,Class 9X,132,31,HAPPY,0.462,3.77,0.027,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-20T03:29:29.285000+00:00
d009f822-242b-412d-9d7f-c6e139d68261,Class 2G,132,34,HAPPY,0.598,4.22,0.068,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-02-19T04:50:52.712000+00:00
e4d21366-9927-4fb3-a9c0-2f8c4653c118,Class 10R,132,36,HAPPY,0.518,3.69,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-01-29T03:59:31.353000+00:00
0c1b57c5-5aa1-4fc3-89cb-fd2a86711847,Class 3Y,132,34,HAPPY,0.735,4.62,0.061,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:29:30.484000+00:00
c93cf06d-4c55-40fc-b655-f7bcd22eb5ec,Class 1R,131,30,HAPPY,0.503,3.36,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-26T04:13:15.889000+00:00
b1f2df60-556b-4ba7-a62a-a71e424309a4,Class 1H,131,38,HAPPY,0.636,4.15,0.063,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:29:29.447000+00:00
7dc9b2c6-63ab-4d26-926e-d9c705158e7c,Class 12D,130,31,HAPPY,0.482,3.49,0.028,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-05T03:59:32.234000+00:00
6f83c644-6230-47cd-b1d4-3da7085dcab5,Class 2L,130,34,HAPPY,0.751,4.4,0.002,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T01:59:31.764000+00:00
c5719ebe-79d5-4cd1-8c72-2ab4c48e7152,Class 10S,130,38,HAPPY,0.772,4.72,0.003,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:40:43.723000+00:00
b0ab0362-959c-4572-861f-e1042994cffd,Class 5M,130,33,HAPPY,0.996,4.5,0.099,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:15:28.162000+00:00
864331ef-1928-472d-9dbc-4a900fe34279,Class 5A,129,32,HAPPY,0.706,4.48,0.034,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:52:56.271000+00:00
bbaef8a1-62a7-4292-b0b6-245719c6278a,Class 5X,128,32,HAPPY,0.645,3.67,0.012,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-06T03:59:29.877000+00:00
602ef40c-1cc3-4940-80ca-7240f48121e8,Class 9O,128,34,HAPPY,0.822,4.59,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:20:56.919000+00:00
a88b6c0d-f27f-4445-b621-110113a5a701,Class 11A,128,33,HAPPY,0.788,4.09,0.067,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T04:05:27.312000+00:00
39030cc0-d6f5-44bb-86ba-8638736855e0,Class 8O,127,31,HAPPY,0.998,4.66,0.001,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:37:00.382000+00:00
e8658613-e2e8-42a7-a159-fc38608f2d36,Class 4A,127,33,HAPPY,0.805,4.64,0.062,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:42:20.367000+00:00
4cc6c462-2a72-4a2a-b890-0ade10381332,Class 5P,127,35,HAPPY,1.0,4.54,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-05T04:09:10.527000+00:00
6887da6f-3ea6-4b8b-ac34-a2955c884a56,Class 12O,127,31,HAPPY,0.762,4.24,0.019,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:14:11.738000+00:00
2816ccef-94a4-4d49-8892-e726a4eec97c,Class 9Z,126,31,HAPPY,0.999,4.68,0.093,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:59:30.388000+00:00
14607736-aee5-40b2-a45a-54ddbd9c9f9b,Class 11A,126,33,HAPPY,0.652,4.2,0.039,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:29:29.786000+00:00
9373cc9f-2f1c-4b14-b3c1-0755d0d886ff,Class 11A,126,31,HAPPY,0.998,4.13,0.086,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:07:33.609000+00:00
917e6e5e-bd54-4a71-aa24-5d7366f19c73,Class 7O,126,32,HAPPY,0.816,4.51,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:03:47.589000+00:00
e8d96f86-ebf3-4055-bb2f-865012e9c090,Class 3X,126,31,HAPPY,1.0,4.62,0.083,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:57:16.565000+00:00
ac055c03-e54d-46b0-8ce0-d7bddb4c2d80,Class 2H,125,32,HAPPY,0.594,3.98,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-04T03:59:30.416000+00:00
c0d0d60c-03e6-4b9f-80ae-7b7ca1015e7a,Class 12J,125,31,HAPPY,0.587,3.75,0.013,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T04:57:30.042000+00:00
b3dcc5cf-f1cc-4c08-be88-8c79e0255efe,Class 10J,124,32,HAPPY,0.865,4.73,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:22:49.842000+00:00
78fb554b-32d9-4da7-b881-834ab10580c1,Class 2Q,124,33,HAPPY,0.859,4.46,0.001,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:11:32.666000+00:00
47156397-dc6d-4d28-9fcf-e4912642a5cf,Class 10M,124,31,HAPPY,0.826,4.62,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T02:45:39.132000+00:00
1c067289-3948-4b5c-8328-84b66a2d0aed,Class 2Z,124,29,HAPPY,0.492,3.74,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-20T03:59:29.861000+00:00
a475e35c-a21b-49a5-be4b-8a52f2e7e745,Class 7A,124,34,HAPPY,0.556,3.51,0.037,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-17T03:59:32.989000+00:00
3063e3d8-ad29-4cfe-b91a-7ad1be6bb84c,Class 9M,123,31,EXCITED,1.0,4.84,0.114,stable,HIGH,Hands-on experiments; Interactive presentations; Movement breaks; Brainstorming sessions,5-15 minutes,2025-03-07T02:45:50.752000+00:00
d82a2cd9-60b1-4377-bbcf-fbf2257ece2a,Class 10J,122,32,HAPPY,0.794,4.59,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:17:51.619000+00:00
97045756-e77b-4af0-a722-6fba627f5660,Class 2L,122,31,EXCITED,0.998,4.83,0.06,stable,HIGH,Hands-on experiments; Interactive presentations; Movement breaks; Brainstorming sessions,5-15 minutes,2025-03-07T03:04:34.016000+00:00
672fda93-4e49-45ae-a1e9-63baa4e8052e,Class 11G,121,32,HAPPY,0.698,4.38,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:59:30.048000+00:00
dcc2372f-5668-4489-9fe4-03793ad2c6e5,Class 12W,121,33,HAPPY,0.59,4.08,0.01,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-02-19T05:02:11.045000+00:00
1bea78bd-81fd-47c3-b3d9-02c60ee7e63d,Class 1E,121,32,HAPPY,0.838,4.4,0.001,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:44:36.163000+00:00
fc51d43b-d4d0-4aeb-be25-b6ff571ba4c6,Class 11A,121,31,HAPPY,0.69,4.04,0.003,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:53:13.982000+00:00
7fae2fc0-8801-498b-b98c-344bc3b40270,Class 10I,120,35,HAPPY,0.56,3.96,0.019,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-20T03:29:30.534000+00:00
809d2e6c-01ad-406b-ae64-c00513a8bde0,Class 1Q,120,26,HAPPY,0.507,3.53,0.004,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-24T03:29:29.628000+00:00
076cbf35-cc2f-4215-b61c-472914d23953,Class 6W,120,29,HAPPY,0.602,4.1,0.001,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-02-27T03:59:29.881000+00:00
79f91ab7-b34f-458d-9d65-f552ce05e93d,Class 3C,120,28,HAPPY,0.481,4.0,0.001,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-24T03:59:29.330000+00:00
d87e6036-ce2d-4236-bf74-f567f67dc8c1,Class 4Q,119,36,EXCITED,1.0,4.53,0.0,stable,HIGH,Hands-on experiments; Interactive presentations; Movement breaks; Brainstorming sessions,5-15 minutes,2025-03-07T03:39:08.125000+00:00
d7bacc85-1cfe-430f-80d2-3843b150ab57,Class 6N,119,32,EXCITED,1.0,4.53,0.0,stable,HIGH,Hands-on experiments; Interactive presentations; Movement breaks; Brainstorming sessions,5-15 minutes,2025-03-07T03:10:23.770000+00:00
482c7f18-cddd-4bdc-8247-92b5a4a7733e,Class 2P,119,33,HAPPY,0.674,4.07,0.001,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:22:18.194000+00:00
bcf48b75-9c05-4aea-a66c-fd41913c3c40,Class 6I,119,35,HAPPY,0.543,3.57,0.072,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T04:56:19.802000+00:00
fb97931b-29c0-4927-a487-b90a47f4f193,Class 8G,119,35,HAPPY,0.625,3.78,0.023,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-06T03:59:31.438000+00:00
1c44805b-ca90-4a15-a14c-05694389782f,Class 5P,119,32,HAPPY,0.857,4.67,0.0,improving,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:08:01.096000+00:00
6a9c4ced-3a53-46b0-8a89-68556b63b5bd,Class 9V,119,35,HAPPY,0.717,4.37,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:17:18.289000+00:00
4ec7fd9b-ced4-401e-b526-e83bf096c1ca,Class 3V,119,34,HAPPY,0.613,3.94,0.051,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-07T03:59:59.095000+00:00
4e8d4046-3a88-4089-90cf-1175200d5981,Class 3I,119,32,HAPPY,0.801,4.58,0.002,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:06:51.177000+00:00
006ebdb6-35ab-417a-81fa-e570143e81dc,Class 5Z,119,33,HAPPY,0.998,4.89,0.027,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:05:33.705000+00:00
d8bbd20e-866b-4272-a02c-184d3fea3242,Class 7K,118,33,HAPPY,0.668,4.17,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-06T03:29:29.255000+00:00
06dbdc20-88ee-489b-9876-79ff1483e8fe,Class 1H,118,31,HAPPY,0.655,4.29,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:01:43.887000+00:00
cf443305-26a6-4638-be8a-f5f2124ff9a3,Class 5Z,118,31,HAPPY,0.988,4.57,0.069,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-02-28T03:18:44.659000+00:00
bec2d3be-3c66-48bf-a92b-3cd4acc66280,Class 6K,118,31,HAPPY,0.838,4.44,0.005,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:09:10.410000+00:00
7e41eb5c-f623-4356-af4f-974648dd4eb5,Class 7L,117,35,HAPPY,0.728,3.66,0.109,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-19T05:03:32.107000+00:00
bf03284a-263e-4aee-897e-bab1808d004d,Class 5X,117,38,HAPPY,0.688,4.26,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:00:22.099000+00:00
0fe63280-8581-4c4b-a915-9402c6892b21,Class 9E,117,33,HAPPY,0.679,3.87,0.026,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-06T03:29:29.716000+00:00
0049a21e-bbfb-438f-92ab-1f847fb8ba62,Class 11T,116,43,HAPPY,0.998,4.38,0.004,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:59:30.152000+00:00
c3c673e0-45c5-4527-96b1-b587655ca6f2,Class 7I,116,73,HAPPY,0.826,4.64,0.001,improving,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T03:00:24.366000+00:00
ba0a1cc7-72cd-4e8a-8178-7cea1c25c012,Class 12C,115,32,HAPPY,0.84,4.45,0.0,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T04:23:51.812000+00:00
a2cf13b8-e26b-4197-ac02-a53638177530,Class 1B,115,35,HAPPY,0.879,4.86,0.001,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:59:29.772000+00:00
104ac756-cd28-426b-b49b-a05f25d6edd9,Class 7Z,115,30,HAPPY,0.998,4.62,0.094,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:51:52.581000+00:00
b11781fb-7a23-4115-ba29-980139bedb1b,Class 1N,115,34,EXCITED,0.993,4.95,0.044,stable,HIGH,Hands-on experiments; Interactive presentations; Movement breaks; Brainstorming sessions,5-15 minutes,2025-03-07T02:44:38.342000+00:00
b695fe2f-fdee-4e2e-be5b-3efe211476dc,Class 9A,114,35,HAPPY,0.572,3.79,0.008,stable,MEDIUM,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-03-03T03:59:29.809000+00:00
4845abe8-4329-44b7-9f94-d06b03f72631,Class 11V,114,35,HAPPY,0.704,4.21,0.068,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-02-28T03:50:51.961000+00:00
17900efc-81e0-47a6-bf46-e87ed038d1db,Class 5G,113,29,HAPPY,0.511,3.55,0.0,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,20-30 minutes,2025-02-17T02:59:31.096000+00:00
632e2920-ce33-4f78-b971-cf2da4ca751d,Class 7H,113,31,HAPPY,1.0,4.63,0.002,stable,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:59:30.067000+00:00
38662ddb-4a6e-4d82-8c7d-951af189970c,Class 10M,113,32,HAPPY,0.645,4.33,0.036,declining,HIGH,Group discussion; Creative projects; Peer teaching; Team building games,5-15 minutes,2025-03-07T02:29:30.929000+00:00
